//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-16-2018
//--  Time: 15:54
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -10.0(C), 	Resistance 1: 9300.0 Ohms 
//--    Temperature2: 20.0(C), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 80.0(C), 	Resistance 3: 335.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	70.00	700 	0.059
13	70.00	700 	0.063
14	70.00	700 	0.068
15	70.00	700 	0.073
16	347.07	3471 	0.078
17	340.92	3409 	0.083
18	335.19	3352 	0.088
19	329.84	3298 	0.093
20	324.83	3248 	0.098
21	320.11	3201 	0.103
22	315.66	3157 	0.107
23	311.45	3114 	0.112
24	307.45	3075 	0.117
25	303.65	3037 	0.122
26	300.03	3000 	0.127
27	296.58	2966 	0.132
28	293.27	2933 	0.137
29	290.10	2901 	0.142
30	287.07	2871 	0.146
31	284.15	2841 	0.151
32	281.34	2813 	0.156
33	278.64	2786 	0.161
34	276.03	2760 	0.166
35	273.51	2735 	0.171
36	271.07	2711 	0.176
37	268.72	2687 	0.181
38	266.44	2664 	0.186
39	264.23	2642 	0.190
40	262.08	2621 	0.195
41	260.00	2600 	0.200
42	257.98	2580 	0.205
43	256.01	2560 	0.210
44	254.10	2541 	0.215
45	252.23	2522 	0.220
46	250.42	2504 	0.225
47	248.65	2486 	0.229
48	246.92	2469 	0.234
49	245.24	2452 	0.239
50	243.59	2436 	0.244
51	241.99	2420 	0.249
52	240.42	2404 	0.254
53	238.88	2389 	0.259
54	237.38	2374 	0.264
55	235.91	2359 	0.269
56	234.47	2345 	0.273
57	233.06	2331 	0.278
58	231.68	2317 	0.283
59	230.33	2303 	0.288
60	229.00	2290 	0.293
61	227.70	2277 	0.298
62	226.42	2264 	0.303
63	225.17	2252 	0.308
64	223.93	2239 	0.313
65	222.72	2227 	0.317
66	221.54	2215 	0.322
67	220.37	2204 	0.327
68	219.22	2192 	0.332
69	218.09	2181 	0.337
70	216.98	2170 	0.342
71	215.89	2159 	0.347
72	214.81	2148 	0.352
73	213.75	2138 	0.356
74	212.71	2127 	0.361
75	211.69	2117 	0.366
76	210.68	2107 	0.371
77	209.68	2097 	0.376
78	208.70	2087 	0.381
79	207.73	2077 	0.386
80	206.78	2068 	0.391
81	205.84	2058 	0.396
82	204.91	2049 	0.400
83	204.00	2040 	0.405
84	203.10	2031 	0.410
85	202.21	2022 	0.415
86	201.33	2013 	0.420
87	200.46	2005 	0.425
88	199.61	1996 	0.430
89	198.76	1988 	0.435
90	197.93	1979 	0.439
91	197.10	1971 	0.444
92	196.29	1963 	0.449
93	195.49	1955 	0.454
94	194.69	1947 	0.459
95	193.91	1939 	0.464
96	193.13	1931 	0.469
97	192.36	1924 	0.474
98	191.60	1916 	0.479
99	190.85	1909 	0.483
100	190.11	1901 	0.488
101	189.38	1894 	0.493
102	188.65	1887 	0.498
103	187.94	1879 	0.503
104	187.23	1872 	0.508
105	186.52	1865 	0.513
106	185.83	1858 	0.518
107	185.14	1851 	0.522
108	184.46	1845 	0.527
109	183.79	1838 	0.532
110	183.12	1831 	0.537
111	182.46	1825 	0.542
112	181.80	1818 	0.547
113	181.16	1812 	0.552
114	180.51	1805 	0.557
115	179.88	1799 	0.562
116	179.25	1792 	0.566
117	178.62	1786 	0.571
118	178.01	1780 	0.576
119	177.39	1774 	0.581
120	176.79	1768 	0.586
121	176.19	1762 	0.591
122	175.59	1756 	0.596
123	175.00	1750 	0.601
124	174.41	1744 	0.605
125	173.83	1738 	0.610
126	173.26	1733 	0.615
127	172.69	1727 	0.620
128	172.12	1721 	0.625
129	171.56	1716 	0.630
130	171.00	1710 	0.635
131	170.45	1705 	0.640
132	169.90	1699 	0.645
133	169.36	1694 	0.649
134	168.82	1688 	0.654
135	168.29	1683 	0.659
136	167.76	1678 	0.664
137	167.23	1672 	0.669
138	166.71	1667 	0.674
139	166.19	1662 	0.679
140	165.68	1657 	0.684
141	165.16	1652 	0.688
142	164.66	1647 	0.693
143	164.16	1642 	0.698
144	163.66	1637 	0.703
145	163.16	1632 	0.708
146	162.67	1627 	0.713
147	162.18	1622 	0.718
148	161.70	1617 	0.723
149	161.21	1612 	0.728
150	160.74	1607 	0.732
151	160.26	1603 	0.737
152	159.79	1598 	0.742
153	159.32	1593 	0.747
154	158.86	1589 	0.752
155	158.39	1584 	0.757
156	157.93	1579 	0.762
157	157.48	1575 	0.767
158	157.02	1570 	0.771
159	156.57	1566 	0.776
160	156.13	1561 	0.781
161	155.68	1557 	0.786
162	155.24	1552 	0.791
163	154.80	1548 	0.796
164	154.37	1544 	0.801
165	153.93	1539 	0.806
166	153.50	1535 	0.811
167	153.08	1531 	0.815
